<=50K 3 State-gov 0 Bachelors 7 Never-married Adm-clerical Not-in-family White Male 0 0 3 United-States
<=50K 4 Self-emp-not-inc 0 Bachelors 7 Married-civ-spouse Exec-managerial Husband White Male 0 0 1 United-States
<=50K 2 Private 1 HS-grad 5 Divorced Handlers-cleaners Not-in-family White Male 0 0 3 United-States
<=50K 4 Private 1 11th 3 Married-civ-spouse Handlers-cleaners Husband Black Male 0 0 3 United-States
<=50K 1 Private 2 Bachelors 7 Married-civ-spouse Prof-specialty Wife Black Female 0 0 3 Cuba
<=50K 2 Private 1 Masters 8 Married-civ-spouse Exec-managerial Wife White Female 0 0 3 United-States
<=50K 4 Private 1 9th 2 Married-spouse-absent Other-service Not-in-family Black Female 0 0 1 Jamaica
>50K 4 Self-emp-not-inc 1 HS-grad 5 Married-civ-spouse Exec-managerial Husband White Male 0 0 4 United-States
>50K 1 Private 0 Masters 8 Never-married Prof-specialty Not-in-family White Female 1 0 4 United-States
>50K 3 Private 0 Bachelors 7 Married-civ-spouse Exec-managerial Husband White Male 0 0 3 United-States
>50K 2 Private 1 Some-college 5 Married-civ-spouse Exec-managerial Husband Black Male 0 0 8 United-States
>50K 1 State-gov 0 Bachelors 7 Married-civ-spouse Prof-specialty Husband Asian-Pac-Islander Male 0 0 3 India
<=50K 0 Private 0 Bachelors 7 Never-married Adm-clerical Own-child White Female 0 0 2 United-States
<=50K 2 Private 1 Assoc-acdm 7 Never-married Sales Not-in-family Black Male 0 0 4 United-States
>50K 3 Private 0 Assoc-voc 6 Married-civ-spouse Craft-repair Husband Asian-Pac-Islander Male 0 0 3 ?
<=50K 2 Private 1 7th-8th 1 Married-civ-spouse Transport-moving Husband Amer-Indian-Eskimo Male 0 0 4 Mexico
<=50K 1 Self-emp-not-inc 1 HS-grad 5 Never-married Farming-fishing Own-child White Male 0 0 3 United-States
<=50K 2 Private 1 HS-grad 5 Never-married Machine-op-inspct Unmarried White Male 0 0 3 United-States
<=50K 2 Private 0 11th 3 Married-civ-spouse Sales Husband White Male 0 0 4 United-States
>50K 3 Self-emp-not-inc 1 Masters 8 Divorced Exec-managerial Unmarried White Female 0 0 4 United-States
>50K 3 Private 1 Doctorate 9 Married-civ-spouse Prof-specialty Husband White Male 0 0 6 United-States
<=50K 5 Private 1 HS-grad 5 Separated Other-service Unmarried Black Female 0 0 1 United-States
<=50K 2 Federal-gov 0 9th 2 Married-civ-spouse Farming-fishing Husband Black Male 0 0 3 United-States
<=50K 3 Private 0 11th 3 Married-civ-spouse Transport-moving Husband White Male 0 4 3 United-States
<=50K 5 Private 0 HS-grad 5 Divorced Tech-support Unmarried White Female 0 0 3 United-States
>50K 5 Local-gov 1 Bachelors 7 Married-civ-spouse Tech-support Husband White Male 0 0 3 United-States
<=50K 0 Private 1 HS-grad 5 Never-married Craft-repair Own-child White Male 0 0 3 United-States
>50K 5 ? 1 Some-college 5 Married-civ-spouse ? Husband Asian-Pac-Islander Male 0 0 6 South
<=50K 3 Private 2 HS-grad 5 Divorced Exec-managerial Not-in-family White Male 0 0 8 United-States
<=50K 4 Private 1 HS-grad 5 Married-civ-spouse Craft-repair Husband White Male 0 0 3 United-States
<=50K 0 Local-gov 1 Assoc-acdm 7 Never-married Protective-serv Not-in-family White Male 0 0 5 United-States
<=50K 0 Private 1 Some-college 5 Never-married Sales Own-child Black Male 0 0 4 United-States
<=50K 3 Private 2 Bachelors 7 Divorced Exec-managerial Own-child White Male 0 3 3 United-States
